             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.6701059        0.380000          177.94           52.09         0.04228            2.29    1.009+0.000j
      4.6701059        0.390000          175.88           49.66         0.04234            2.37    1.007+0.000j
      4.6701059        0.400000          174.09           47.36         0.04236            2.46    1.000+0.000j
      4.6701059        0.410000          172.58           45.24         0.04239            2.53    1.000+0.000j
      4.6701059        0.420000          171.34           43.20         0.04249            2.61    1.000+0.000j
      4.6701059        0.430000          170.37           41.31         0.04254            2.70    1.003+0.000j
      4.6701059        0.440000          169.66           39.51         0.04259            2.79    1.074+0.000j
      4.6701059        0.450000          169.21           37.87         0.04262            2.86    1.003+0.000j
      4.6701059        0.460000          169.02           36.23         0.04268            2.96    1.002+0.000j
      4.6701059        0.470000          169.08           34.75         0.04275            3.06    1.010+0.000j
      4.6701059        0.480000          169.39           33.35         0.04282            3.17    1.004+0.000j
      4.6701059        0.490000          169.95           32.03         0.04285            3.24    1.001+0.000j
      4.6701059        0.500000          170.75           30.79         0.04292            3.36    1.001+0.000j
      4.6701059        0.510000          171.80           29.61         0.04299            3.46    1.002+0.000j
      4.6701059        0.520000          173.08           28.52         0.04304            3.57    1.000+0.000j
      4.6701059        0.530000          174.61           27.48         0.04310            3.68    1.001+0.000j
      4.6701059        0.540000          176.36           26.50         0.04317            3.79    1.019+0.000j
      4.6701059        0.550000          178.35           25.58         0.04323            3.91    1.000+0.000j
      4.6701059        0.560000          180.57           24.70         0.04326            4.06    1.001+0.000j
      4.6701059        0.570000          183.02           23.89         0.04334            4.15    1.005+0.000j
      4.6701059        0.580000          185.69           23.11         0.04340            4.29    1.001+0.000j
      4.6701059        0.590000          188.59           22.39         0.04347            4.40    1.001+0.000j
